mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,noise_path,noise_gain
p374_150_p265_081,wav16_cut/p374_150.wav,1.3622411724073276,wav16_cut/p265_081.wav,0.6334658293973906,tt/051a0511_1.5823_052o020v_-1.5823.wav,0.9561741356475885
p274_440_p255_110,wav16_cut/p274_440.wav,0.3088107654097561,wav16_cut/p255_110.wav,0.638862680711697,tt/22ho0107_0.009742_443c020w_-0.009742.wav,0.5794949557831819
p277_105_p362_044,wav16_cut/p277_105.wav,0.5839229854616342,wav16_cut/p362_044.wav,1.5286091472489356,tt/052c0111_0.063868_421c0205_-0.063868.wav,0.7632741249813833
p362_409_p263_012,wav16_cut/p362_409.wav,1.7120356853932748,wav16_cut/p263_012.wav,0.48344135091063095,tt/421c020i_1.0901_053o020u_-1.0901.wav,1.7715349172477388
p310_007_p306_118,wav16_cut/p310_007.wav,0.7321095458020573,wav16_cut/p306_118.wav,1.2911297025011093,tt/053o020c_1.1772_421c0214_-1.1772.wav,2.2572295991901474
p254_007_p329_232,wav16_cut/p254_007.wav,0.3006160269098862,wav16_cut/p329_232.wav,0.8453240481951535,tt/440o0303_2.2059_443o0304_-2.2059.wav,1.9389519847483694
p258_138_p269_092,wav16_cut/p258_138.wav,0.49468463912605487,wav16_cut/p269_092.wav,0.5505022931825978,tt/443c020m_0.82352_423c020e_-0.82352.wav,0.9121874410321803
p276_331_p248_286,wav16_cut/p276_331.wav,1.0809321440360697,wav16_cut/p248_286.wav,0.42250154297124004,tt/051c010w_1.3191_444o030n_-1.3191.wav,0.4616144903403791
p293_256_p238_396,wav16_cut/p293_256.wav,0.6037384365862762,wav16_cut/p238_396.wav,0.3324953628905875,tt/444o030q_0.62744_445o030l_-0.62744.wav,0.5866556184507301
p254_150_p314_199,wav16_cut/p254_150.wav,0.43591018920284225,wav16_cut/p314_199.wav,0.522105454834457,tt/22gc0109_1.7275_423a010x_-1.7275.wav,1.2864053281927639
p240_359_p308_309,wav16_cut/p240_359.wav,0.4808480979291286,wav16_cut/p308_309.wav,1.2005501957891143,tt/051c010w_1.2113_052o020q_-1.2113.wav,0.3156580931012874
p249_279_p285_003,wav16_cut/p249_279.wav,0.5173369125549159,wav16_cut/p285_003.wav,0.39244612923477,tt/420o0314_1.6646_423o0304_-1.6646.wav,2.465653433409939
p249_330_p247_098,wav16_cut/p249_330.wav,0.5366896932765636,wav16_cut/p247_098.wav,0.32252069792018667,tt/443o030s_2.1244_22hc010w_-2.1244.wav,4.789981385500048
p364_114_p261_097,wav16_cut/p364_114.wav,0.8970636083404413,wav16_cut/p261_097.wav,0.4070078413115139,tt/445o030s_0.049955_22hc0109_-0.049955.wav,1.994141121003055
p316_332_p303_310,wav16_cut/p316_332.wav,1.23663033603216,wav16_cut/p303_310.wav,0.6257163145476818,tt/445c020w_1.5059_442c0201_-1.5059.wav,2.6316356463535056
p292_027_p297_320,wav16_cut/p292_027.wav,0.5865640089128749,wav16_cut/p297_320.wav,0.4790927183502081,tt/22ga010k_1.3852_22ho010z_-1.3852.wav,2.433766108604978
p228_023_p234_179,wav16_cut/p228_023.wav,0.7270428592904702,wav16_cut/p234_179.wav,0.8932223952902956,tt/421c020l_2.3782_446c020e_-2.3782.wav,1.6097084192388253
p376_093_p279_406,wav16_cut/p376_093.wav,0.4957568643908423,wav16_cut/p279_406.wav,0.5825558989288333,tt/050c010m_0.62964_052a050v_-0.62964.wav,0.7256471633619807
p301_081_p252_009,wav16_cut/p301_081.wav,0.31466663099995923,wav16_cut/p252_009.wav,0.24712686295217137,tt/053o020s_1.3208_442c0204_-1.3208.wav,1.6334548142456846
p307_093_p238_142,wav16_cut/p307_093.wav,0.4882235770687013,wav16_cut/p238_142.wav,0.6380095426529729,tt/440o0307_1.3043_447c020l_-1.3043.wav,2.9920725911931734
p274_447_p301_203,wav16_cut/p274_447.wav,0.5483548016414741,wav16_cut/p301_203.wav,0.30065867566230614,tt/441o030q_1.1184_051o020c_-1.1184.wav,2.7346906883582025
p330_418_p228_175,wav16_cut/p330_418.wav,2.1283836649610204,wav16_cut/p228_175.wav,0.4267038644126078,tt/444c0209_2.0879_050c010g_-2.0879.wav,4.722561353295741
p262_030_p281_060,wav16_cut/p262_030.wav,0.4841263238105716,wav16_cut/p281_060.wav,0.7400327251773955,tt/445o030x_0.92607_051c010q_-0.92607.wav,0.5039493469720694
p287_024_p274_022,wav16_cut/p287_024.wav,0.2458325781690937,wav16_cut/p274_022.wav,0.558736024603466,tt/050o020h_0.3345_053a050i_-0.3345.wav,1.26058089984507
p315_018_p308_018,wav16_cut/p315_018.wav,0.7334450526482182,wav16_cut/p308_018.wav,1.363772288760465,tt/444c0204_0.76091_053o020o_-0.76091.wav,1.4521930209870266
p301_353_p285_223,wav16_cut/p301_353.wav,0.4119866473707462,wav16_cut/p285_223.wav,0.6846083993210471,tt/440c020i_0.57948_442o0311_-0.57948.wav,0.9183794405614668
p351_004_p295_008,wav16_cut/p351_004.wav,0.4495983353021938,wav16_cut/p295_008.wav,0.8431211114521514,tt/440c0212_1.5085_446o030a_-1.5085.wav,0.5168339584043957
p272_341_p238_070,wav16_cut/p272_341.wav,0.910009459070557,wav16_cut/p238_070.wav,0.32031660821868224,tt/447o030k_0.80305_445c020s_-0.80305.wav,2.5696697279146816
